Notebook,Vessel,Temperature,Location,Substrate SMILES,Substrate Conc (M),Catalyst 1,Catalyst1 SMILES,Catalyst1 Conc (M),Reductant,Reductant SMILES,Reductant Conc (M),Solvent1,Analytical Method,number,Output Value
AO-07,1536,50,18:A,CNC(=O)CSC1=NC(=C(S1)NC(=O)C2=C(C=CC=C2OC)OC)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,18,16.145
AO-07,1536,50,19:A,C1=CC=C(C=C1)CCNC2=NC3=NC=CN=C3C(=N2)NCC4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,19,16.06
AO-07,1536,50,20:A,C1CCN(C1)C2=NC(=CC(=N2)N)C3=CC=CC=C3CO,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,20,23.881
AO-07,1536,50,21:A,CN(CC1=NN(N=C1)C2=CC=CC=C2)C3=NC=NC4=C3C=NN4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,21,11.418
AO-07,1536,50,22:A,CC1=NC(=CC(=N1)N2CCN(CC2)C(=O)NC3=CC=CC=C3Cl)N4C=CC=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,22,34.323
AO-07,1536,50,23:A,CN1CCN(CC1)C2=NN=C(C=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,23,22.301
AO-07,1536,50,24:A,COC1=CC=CC=C1N2C3=NC(=NC(=C3NC2=O)C(=O)N)C4=CC=CS4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,24,23.458
AO-07,1536,50,25:A,COC1=CN(N=C1C(=O)NCC2CCC2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,25,33.645
AO-07,1536,50,26:A,CCS(=O)C1CCCCC1NC(=O)C2=CC3=C(C=C2)C(=O)NC(=S)N3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,26,0
AO-07,1536,50,27:A,COC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3CCCCC3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,27,0
AO-07,1536,50,28:A,C1=CC=C(C=C1)N2C(=NN=N2)SCC3=CC4=NON=C4C=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,28,52.756
AO-07,1536,50,29:A,CN1C2=C(C=N1)C(=CC(=N2)C3=CC=CC=C3)C(=O)NC4=C(N=CC=C4)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,29,21.004
AO-07,1536,50,30:A,CCOC(C1=C(NC(C2=CC=CC=C2)=O)SC(C)=C1)=O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,30,27.296
AO-07,1536,50,31:A,C1COC2=C(O1)C=CC(=C2)NC(=O)C3=CC4=C(C=C3)N(C=N4)C5=CC=CC=C5,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,31,93.768
AO-07,1536,50,32:A,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)N3C=NN=N3)SC(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,32,49.896
AO-07,1536,50,33:A,CC1=CC=CC=C1C=CC2=CNC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,33,51.517
AO-07,1536,50,34:A,C1CC2=C(C1)N(C(=O)NC2=S)CCC3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,34,53.423
AO-07,1536,50,35:A,C1=CC=C(C=C1)OCCNCC2=CSC3=CC=CC=C32,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,35,10.199
AO-07,1536,50,36:A,CN(C)C1=NC(=NC(=C1)C2=CC=CC=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,36,88.296
AO-07,1536,50,37:A,C1=CC=C(C(=C1)C2=NC=CN2)NC(=O)C3=CC=C(C=C3)N4C=CN=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,37,93.168
AO-07,1536,50,38:A,C1=CC=C(C(=C1)C2=NNC(=C2)C(=O)NC3=CC=C(C=C3)Cl)O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,38,69.536
AO-07,1536,50,39:A,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2F)[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,39,20.645
AO-07,1536,50,40:A,CC1=NOC2=C1C(=CC(=N2)C3=CC=CC=C3)C(=O)NC4=CC=NC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,40,18.72
AO-07,1536,50,41:A,C1CN(CCN1CCC2=CC=NC=C2)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,41,30.121
AO-07,1536,50,42:A,CNC(=O)CSC1=NC(=C(S1)NC(=O)C2=C(C=CC=C2OC)OC)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,42,31.59
AO-07,1536,50,43:A,C1=CC=C(C=C1)CCNC2=NC3=NC=CN=C3C(=N2)NCC4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,43,21.826
AO-07,1536,50,44:A,C1CCN(C1)C2=NC(=CC(=N2)N)C3=CC=CC=C3CO,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,44,16.852
AO-07,1536,50,45:A,CN(CC1=NN(N=C1)C2=CC=CC=C2)C3=NC=NC4=C3C=NN4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,45,25.219
AO-07,1536,50,46:A,CC1=NC(=CC(=N1)N2CCN(CC2)C(=O)NC3=CC=CC=C3Cl)N4C=CC=N4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,46,79.438
AO-07,1536,50,47:A,CN1CCN(CC1)C2=NN=C(C=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,47,20.014
AO-07,1536,50,48:A,COC1=CC=CC=C1N2C3=NC(=NC(=C3NC2=O)C(=O)N)C4=CC=CS4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,48,22.03
AO-07,1536,50,1:B,C1OC2=C(O1)C=C(C=C2)C(=O)NC3=CC=CC=C3OC(F)(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,49,0
AO-07,1536,50,2:B,CCC12C3C4CC(C(O)C4O2)C3C(N1C5=CC=CC=C5)=O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,50,20.326
AO-07,1536,50,3:B,C1CN(CCN1CC2=CC=NC=C2)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,51,89.863
AO-07,1536,50,4:B,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,52,32.457
AO-07,1536,50,5:B,CCOC(=O)C1(CCN(CC1)CCOC2=CC=CC=C2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,53,79.011
AO-07,1536,50,6:B,CN(C1CCCCC1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC=CC=C3[N+](=O)[O-],0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,54,26.996
AO-07,1536,50,7:B,CC1=C(SC(=N1)NC(=O)CC(C)C)C2=NC(=NO2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,55,39.513
AO-07,1536,50,8:B,C1=CC=C(C=C1)CCNC(=O)C2=CN3C=C(C=NC3=N2)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,56,9.523
AO-07,1536,50,9:B,C1COC(=O)N1C2=CC=C(C=C2)NC(=O)C3=C(C=CO3)C4=CC=CC=C4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,57,5.572
AO-07,1536,50,10:B,COC1=CC=CC=C1NC(=O)CSC2=NC=C(N=N2)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,58,81.148
AO-07,1536,50,11:B,CC1=C(N=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3)CN4CCOCC4,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,59,26.241
AO-07,1536,50,12:B,CCN(C1=CC=CC=C1)CC2=NN=NN2C3CC3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,60,18.264
AO-07,1536,50,13:B,CCOC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C3CCCCC3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,61,25.38
AO-07,1536,50,14:B,C1C(C(C(=CC2=CC=CC=C2)S1)O)NC(=O)C3=CC=CC=C3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,62,32.873
AO-07,1536,50,15:B,C1CC2C(CC1C3=CC=CC=C3)C(=O)N(C2=O)C4=CC=C(C=C4)Br,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,63,45.953
AO-07,1536,50,16:B,CN1C2=C(C=N1)C(=CC(=N2)C3=CC=CC=C3)C(=O)NC4=CC(=C(C=C4)F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,64,93.966
AO-07,1536,50,17:B,CCOC1=CC=C(C=C1)NC(=O)CN(C2=C(C=CC(=C2)Cl)Cl)S(=O)(=O)C,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,65,90.393
AO-07,1536,50,18:B,C1=CC=C(C(=C1)N2C3=NC=NC(=C3C=N2)NCC4=CC=CO4)Cl,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,66,91.861
AO-07,1536,50,19:B,C1=CC=C(C(=C1)C2=NN3C(=NN=C3S2)C4=CN=CC=C4)Br,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,67,92.153
AO-07,1536,50,20:B,CC1=C(N=C(O1)C2=CC=CC=C2)CC(=O)NC3=NC=CS3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,68,11.605
AO-07,1536,50,21:B,CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=CC(=C2)NCC(=O)NC3CC3,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,69,10.583
AO-07,1536,50,22:B,CCN(CC1=CC(=O)N(C(=O)N1C)C)C2=CC=CC=C2,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,70,52.368
AO-07,1536,50,23:B,C1=CC=C(C=C1)C2=NN=C(O2)CCC(=O)NC3=CC=CC4=CC=CC=C43,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,71,24.758
AO-07,1536,50,24:B,CC1=CC(=C(C=C1Cl)C2=NNC(=C2)C(=O)NC3=CC=CC=C3)O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.07,ethylene glycol,UPLC-MS,72,6.801
AO-07,1536,50,25:B,C1OC2=C(O1)C=C(C=C2)C(=O)NC3=CC=CC=C3OC(F)(F)F,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,73,48.61
AO-07,1536,50,26:B,CCC12C3C4CC(C(O)C4O2)C3C(N1C5=CC=CC=C5)=O,0.02,Hydroxy(cyclooctadiene)rhodium(I) dimer,O[Rh].O[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2,0.0008,tetrahydroxydiboron,OB(O)B(O)O,0.14,ethylene glycol,UPLC-MS,74,0
